@timestamp,event.action,message,process.name,process.parent.name,process.args,dll.pe.original_file_name,dll.name,file.name,registry.path,registry.value,dns.question.name,destination.address,domain.abused,domain.spamhaus.score,ipgeolocation.country.name,ipgeolocation.city.name,ipgeolocation.latitude,ipgeolocation.longitude,ipgeolocation.isp,kibana.alert.rule.threat.tactic.name,kibana.alert.rule.threat.technique.subtechnique.name
"Sep 28, 2024 @ 18:13:19.887",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\RunOnce\bxkyvoxpgxsivregs,bxkyvoxpgxsivregs,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.764",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run\khvkicmfxplcqnberz,khvkicmfxplcqnberz,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.644",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce\upbokckbrhbqcxjk,upbokckbrhbqcxjk,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.536",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\pjugbszpetmalfq,pjugbszpetmalfq,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.429",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run\mfpaukqfthzmwp,mfpaukqfthzmwp,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.314",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\RunOnce\ldmwpejxkxoaj,ldmwpejxkxoaj,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:19.087",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run\mdlumaerdpfq,mdlumaerdpfq,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:18.973",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,Shell,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:18.922",modification,Endpoint registry event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableLUA,EnableLUA,-,-,-,-,-,-,-,-,-,-,-
"Sep 28, 2024 @ 18:13:18.214",load,Endpoint DLL load event,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,39198d3c1aa3a57c84b503b5ee22ac887e6db6c8780aa0f31adcef89b3ffa6b9.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
