@timestamp,event.action,message,process.name,process.parent.name,process.args,dll.pe.original_file_name,dll.name,file.name,registry.path,registry.value,dns.question.name,destination.address,domain.abused,domain.spamhaus.score,ipgeolocation.country.name,ipgeolocation.city.name,ipgeolocation.latitude,ipgeolocation.longitude,ipgeolocation.isp,kibana.alert.rule.threat.tactic.name,kibana.alert.rule.threat.technique.subtechnique.name
"Sep 29, 2024 @ 13:27:10.471",lookup_requested,"DNS query is completed for the name raw.githubusercontent.com, type 28, query options 2251800887582720 with status 10054 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,raw.githubusercontent.com,185.199.111.133,-,-,United States,San Francisco,37.78229,-122.39117,"GitHub, Inc.","Command and Control, Exfiltration","Domain Generation Algorithms, Exfiltration to Code Repository, Exfiltration to Cloud Storage"
"Sep 29, 2024 @ 13:26:19.827",creation,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.log,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:26:19.798",end,Endpoint process event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,explorer.exe,C:\Users\John\fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:48.039",lookup_requested,"DNS query is completed for the name nodejs.org, type 28, query options 2251800887582720 with status 1460 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,nodejs.org,104.20.22.46,False,39,United States,San Francisco,37.78035,-122.39059,"Cloudflare, Inc.",-,-
"Sep 29, 2024 @ 13:24:27.179",lookup_requested,"DNS query is completed for the name raw.githubusercontent.com, type 28, query options 2251800887582720 with status 10054 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,raw.githubusercontent.com,185.199.111.133,-,-,United States,San Francisco,37.78229,-122.39117,"GitHub, Inc.",-,-
"Sep 29, 2024 @ 13:24:22.085",overwrite,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.conf,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:22.084",creation,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.conf,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:21.888",load,Endpoint DLL load event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,nodejs-portable.exe,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:21.832",start,Endpoint process event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,explorer.exe,C:\Users\John\fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:41:55.416",lookup_requested,"DNS query is completed for the name a.tsroxybaa.com, type 1, query options 140737488355336 with status 1460 Results  ",mspaint.exe,-,-,-,-,-,-,-,a.tsroxybaa.com,199.2.137.29,-,-,United States,Redmond,47.63883,-122.13123,Microsoft Corporation,-,-
"Sep 16, 2024 @ 17:41:28.375",lookup_requested,"DNS query is completed for the name a.joerv06.com, type 1, query options 140737488355336 with status 10054 Results  ",mspaint.exe,-,-,-,-,-,-,-,a.joerv06.com,199.2.137.29,-,-,United States,Redmond,47.63883,-122.13123,Microsoft Corporation,-,-
"Sep 16, 2024 @ 17:41:06.297",lookup_requested,"DNS query is completed for the name a.baerr000.ru, type 1, query options 140737488355336 with status 1460 Results  ",mspaint.exe,-,-,-,-,-,-,-,a.baerr000.ru,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:32:05.598",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Kwcocy,Kwcocy,-,-,-,-,-,-,-,-,-,Persistence,Registry Run Keys / Startup Folder
"Sep 16, 2024 @ 17:32:05.595",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Screen Saver Pro 3.1,Screen Saver Pro 3.1,-,-,-,-,-,-,-,-,-,Persistence,Registry Run Keys / Startup Folder
"Sep 16, 2024 @ 17:31:10.290",modification,Malware Detection Alert,-,-,-,-,-,w32.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:30:52.110",modification,Malware Detection Alert,-,-,-,-,-,t32.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:30:35.659",modification,Malware Detection Alert,-,-,-,-,-,notification_helper.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:30:20.578",modification,Malware Detection Alert,-,-,-,-,-,elevation_service.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:57.245",modification,Malware Detection Alert,zAbUoM.exe,-,-,-,-,chrome_pwa_launcher.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:35.434",modification,Malware Detection Alert,zAbUoM.exe,-,C:\Users\John\AppData\Local\Temp\zAbUoM.exe,-,-,chrome_proxy.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:14.457",modification,Malware Detection Alert,zAbUoM.exe,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,C:\Users\John\AppData\Local\Temp\zAbUoM.exe,-,-,chrome.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:11.794",end,Endpoint process event,cmd.exe,zAbUoM.exe,"C:\Windows\system32\cmd.exe, /c, C:\Users\John\AppData\Local\Temp\61227504.bat ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:11.793",deletion,Endpoint file event,cmd.exe,-,-,-,-,61227504.bat,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:11.283",end,Endpoint process event,zAbUoM.exe,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,C:\Users\John\AppData\Local\Temp\zAbUoM.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:11.244",start,Endpoint process event,cmd.exe,zAbUoM.exe,"C:\Windows\system32\cmd.exe, /c, C:\Users\John\AppData\Local\Temp\61227504.bat ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:10.610",creation,Endpoint file event,zAbUoM.exe,-,-,-,-,61227504.bat,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:10.609",modification,Endpoint registry event,zAbUoM.exe,-,-,-,-,-,HKLM\SOFTWARE\WOW6432Node\GTplus\Time,Time,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:02.109",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,w32.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:29:02.073",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,t32.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:56.110",rename,Malware Detection Alert,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,explorer.exe,-,-,-,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe.gonewiththewings,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:48.826",modification,Malware Detection Alert,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,explorer.exe,C:\Users\John\137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,zAbUoM.exe.gonewiththewings,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:36.779",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,notification_helper.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:36.742",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,interactive_ui_tests.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:36.642",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,elevation_service.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:36.609",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,chrome_proxy.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:36.600",modification,Endpoint file event,zAbUoM.exe,-,-,-,-,chrome.exe,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:25.130",creation,Malware Detection Alert,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,explorer.exe,C:\Users\John\137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,ScreenSaverPro.scr,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:23.210",lookup_requested,"DNS query is completed for the name ddos.dnsnb8.net, type 28, query options 2251800887582720 with status 1460 Results  ",zAbUoM.exe,-,-,-,-,-,-,-,ddos.dnsnb8.net,44.221.84.105,-,-,United States,North,37.45243,-76.41686,Amazon Data Services NoVa,-,-
"Sep 16, 2024 @ 17:28:21.783",lookup_requested,"DNS query is completed for the name api.wipmania.com, type 28, query options 2251800887582720 with status 1460 Results  ",mspaint.exe,-,-,-,-,-,-,-,api.wipmania.com,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:17.463",end,Endpoint process event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,explorer.exe,C:\Users\John\137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:14.456",end,Endpoint process event,iexplore.exe,iexplore.exe,C:\Program Files\Internet Explorer\IEXPLORE.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:14.205",lookup_requested,"DNS query is completed for the name go.microsoft.com, type 28, query options 2251800887582720 with status 1460 Results  ",iexplore.exe,-,-,-,-,-,-,-,go.microsoft.com,23.40.33.147,-,-,Singapore,Singapore,1.29041,103.85211,"Akamai Technologies, Inc.",-,-
"Sep 16, 2024 @ 17:28:12.704",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,UNCAsIntranet,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.704",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.703",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.703",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,IntranetName,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.696",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\History\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.695",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Cookies\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.694",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Content\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.652",modification,Endpoint registry event,mspaint.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Kwcocy,Kwcocy,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.644",end,Endpoint process event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,C:\Users\John\137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.064",end,Endpoint process event,iexplore.exe,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,C:\Program Files (x86)\Internet Explorer\iexplore.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.055",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\Main\DisableFirstRunCustomize,DisableFirstRunCustomize,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.051",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\SecuritySafe,SecuritySafe,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.046",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,IntranetName,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.046",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,UNCAsIntranet,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.046",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.045",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.044",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\Protected - It is a violation of Windows Policy to modify. See aka.ms/browserpolicy\HomepagesUpgradeVersion,HomepagesUpgradeVersion,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:12.040",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\Main\CompatibilityFlags,CompatibilityFlags,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.936",load,Endpoint DLL load event,iexplore.exe,-,-,-,ieproxy.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.686",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\VersionManager\FirstCheckForUpdateHighDateTime,FirstCheckForUpdateHighDateTime,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.675",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\VersionManager\FirstCheckForUpdateLowDateTime,FirstCheckForUpdateLowDateTime,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.594",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\GPU\Revision,Revision,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.594",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\CVListDomainAttributeSet,CVListDomainAttributeSet,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.594",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\StaleCompatCache,StaleCompatCache,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.593",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\GPU\SoftwareFallback,SoftwareFallback,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.593",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\GPU\VendorId,VendorId,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.593",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\GPU\DeviceId,DeviceId,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.593",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\GPU\SubSysId,SubSysId,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.552",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\CVListXMLVersionLow,CVListXMLVersionLow,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.552",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\CVListXMLVersionHigh,CVListXMLVersionHigh,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.469",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\IECompatVersionLow,IECompatVersionLow,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.461",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\BrowserEmulation\IECompatVersionHigh,IECompatVersionHigh,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.423",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\History\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.422",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Cookies\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.421",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Content\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:11.276",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\TabbedBrowsing\NTPMigrationVer,NTPMigrationVer,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:10.835",modification,Endpoint registry event,iexplore.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Internet Explorer\Main\OperationalData,OperationalData,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:10.587",start,Endpoint process event,iexplore.exe,iexplore.exe,C:\Program Files\Internet Explorer\IEXPLORE.EXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:09.900",start,Endpoint process event,iexplore.exe,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,C:\Program Files (x86)\Internet Explorer\iexplore.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:08.458",creation,Malware Detection Alert,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,explorer.exe,C:\Users\John\137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,temp.bin,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.439",lookup_requested,"DNS query is completed for the name api.wipmania.net, type 1, query options 1073766400 with status 87 Results  ",137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,-,-,api.wipmania.net,100.172.38.94,-,-,United States,Bellevue,47.57660,-122.16709,"T Mobile USA, Inc.",-,-
"Sep 16, 2024 @ 17:28:05.431",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\History\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.430",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Cookies\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.429",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\5.0\Cache\Content\CachePrefix,CachePrefix,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.422",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,UNCAsIntranet,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.422",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,AutoDetect,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.421",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,IntranetName,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.421",modification,Endpoint registry event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,-,HKEY_USERS\S-1-5-21-2438712759-301890551-4283054500-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,ProxyBypass,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.399",rename,Endpoint file event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe.gonewiththewings,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:28:05.391",rename,Endpoint file event,137fde2bb3da136cf0886186a666b14312ab5dfa6e3b2282cd1c2d973f34dba8.exe,-,-,-,-,zAbUoM.exe.gonewiththewings,-,-,-,-,-,-,-,-,-,-,-,-,-
